Label,Volume (unit),Volume (pixel),Mean,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret,integrated Density
ObjB-1,0.009,496,189.758,128,232,24.855,173.933,33.190,0,173.861,33.054,0,0.675,94120
ObjB-2,0.011,651,172.289,128,232,20.038,73.229,41.237,0,72.957,41.180,0,0.858,112160
ObjB-3,0.008,448,209.036,128,248,35.670,138.469,54.746,0,138.557,54.620,0,0.668,93648
ObjB-4,0.007,398,179.940,120,232,25.764,194.681,59.176,0,194.502,59.549,0,0.880,71616
ObjB-5,0.009,517,194.352,120,248,28.942,28.364,57.505,0,28.223,57.792,0,0.715,100480
ObjB-6,0.007,425,195.915,120,248,31.525,98.936,73.188,0,98.880,73.170,0,0.700,83264
ObjB-7,0.007,408,186.922,128,224,25.486,63.836,83.895,0,63.718,83.718,0,0.620,76264
ObjB-8,0.007,424,202.189,128,248,36.152,129.750,83.604,0,129.458,83.713,0,0.794,85728
ObjB-9,0.012,676,198.970,120,240,28.495,174.756,99.121,0,174.749,99.056,0,0.889,134504
ObjB-10,0.006,358,197.788,128,232,28.528,102.799,111.293,0,102.869,111.268,0,0.600,70808
ObjB-11,0.010,544,198.485,120,240,30.226,37.125,122.217,0,37.142,122.044,0,0.765,107976
ObjB-12,0.011,601,190.642,128,232,27.299,126.651,129.474,0,126.597,129.733,0,1.140,114576
ObjB-13,0.011,636,193.119,120,248,32.689,164.833,132.014,0,164.976,132.441,0,0.974,122824
ObjB-14,0.010,596,210.148,120,248,35.062,223.878,127.374,0,223.729,127.303,0,0.735,125248
ObjB-15,0.016,897,198.511,120,248,31.028,89.032,162.279,0,88.891,162.918,0,1.318,178064
ObjB-16,0.007,409,179.658,120,232,25.525,136.330,163.110,0,136.247,163.143,0,0.702,73480
ObjB-17,0.007,415,199.576,120,248,32.959,16.046,168.761,0,16.048,168.898,0,0.666,82824
ObjB-18,0.007,375,195.584,120,240,31.025,44.112,171.800,0,44.108,171.792,0,0.633,73344
ObjB-19,0.011,649,200.468,120,240,31.947,179.347,181.652,0,179.524,181.497,0,0.794,130104
ObjB-20,0.007,378,208.233,120,248,38.375,232.923,184.640,0,232.888,184.595,0,0.620,78712
ObjB-21,0.010,577,201.012,128,240,29.189,130.359,197.300,0,130.256,197.272,0,0.723,115984
ObjB-22,0.008,467,167.589,128,232,25.683,26.039,215.317,0,25.808,214.635,0,0.864,78264
ObjB-23,0.011,614,219.726,120,248,37.970,102.764,213.832,0,102.836,213.791,0,0.816,134912
ObjB-24,0.009,539,189.521,128,216,24.421,62.121,217.332,0,62.175,217.348,0,0.768,102152
ObjB-25,0.010,558,216.602,120,248,37.592,234.050,227.213,0,234.017,227.338,0,0.707,120864
ObjB-26,0.015,852,197.765,128,248,29.658,180.204,229.815,0,179.894,229.713,0,1.043,168496
