 ,dates,image_file,slicelabels,slicenums,obserbations,roi_numbers,withfoci,roi_areas,raw_roi_means,globalmeans,globalsds,thresholds,foci_serial,foci_areas,foci_meanints,foci_intdens,foci_rawintdens
1,2022-12-22,dots_large.tif,,1,1,1,TRUE,164.804,14.757,4.426,15.513,35.453,1,0.101,97.846,9.855,1272.000
2,2022-12-22,dots_large.tif,,1,2,1,TRUE,164.804,14.757,4.426,15.513,35.453,2,0.186,83.167,15.464,1996.000
3,2022-12-22,dots_large.tif,,1,3,1,TRUE,164.804,14.757,4.426,15.513,35.453,3,0.798,146.806,117.149,15121.000
4,2022-12-22,dots_large.tif,,1,4,1,TRUE,164.804,14.757,4.426,15.513,35.453,4,0.101,95.231,9.591,1238.000
5,2022-12-22,dots_large.tif,,1,5,1,TRUE,164.804,14.757,4.426,15.513,35.453,5,0.124,92.562,11.474,1481.000
6,2022-12-22,dots_large.tif,,1,6,1,TRUE,164.804,14.757,4.426,15.513,35.453,6,0.108,71.500,7.755,1001.000
7,2022-12-22,dots_large.tif,,1,7,1,TRUE,164.804,14.757,4.426,15.513,35.453,7,0.310,111.025,34.406,4441.000
8,2022-12-22,dots_large.tif,,1,8,1,TRUE,164.804,14.757,4.426,15.513,35.453,8,0.163,79.095,12.869,1661.000
9,2022-12-22,dots_large.tif,,1,9,1,TRUE,164.804,14.757,4.426,15.513,35.453,9,0.713,95.663,68.185,8801.000
10,2022-12-22,dots_large.tif,,1,10,1,TRUE,164.804,14.757,4.426,15.513,35.453,10,0.155,90.400,14.007,1808.000
11,2022-12-22,dots_large.tif,,1,11,1,TRUE,164.804,14.757,4.426,15.513,35.453,11,0.170,85.818,14.627,1888.000
12,2022-12-22,dots_large.tif,,1,12,1,TRUE,164.804,14.757,4.426,15.513,35.453,12,0.240,76.871,18.462,2383.000
13,2022-12-22,dots_large.tif,,1,13,2,TRUE,132.900,17.278,7.124,22.879,52.883,1,0.465,155.533,72.299,9332.000
14,2022-12-22,dots_large.tif,,1,14,2,TRUE,132.900,17.278,7.124,22.879,52.883,2,0.147,131.474,19.353,2498.000
15,2022-12-22,dots_large.tif,,1,15,2,TRUE,132.900,17.278,7.124,22.879,52.883,3,0.124,110.625,13.713,1770.000
